name,gem_id,mobility_region,COVID2104_region,COVID2104_small_region,veiligheidsregio,mobility_veiligheidsregio
Gemert-Bakel,1652,8,10,11,Brabant-Zuidoost,16
Halderberge,1655,10,2,80,Midden- en West-Brabant,18
Lingewaal,733,7,7,26,Gelderland-Zuid,24
De Ronde Venen,736,2,3,37,Utrecht,14
Tytsjerksteradiel,737,0,11,16,Fryslân,6
Aalburg,738,8,0,65,Midden- en West-Brabant,18
Asten,743,8,10,21,Brabant-Zuidoost,16
Baarle-Nassau,744,10,2,69,Midden- en West-Brabant,18
Bergen op Zoom,748,10,2,18,Midden- en West-Brabant,18
Best,753,8,10,23,Brabant-Zuidoost,16
Boekel,755,8,0,11,Brabant-Noord,24
Boxmeer,756,4,8,0,Brabant-Noord,24
Boxtel,757,8,0,29,Brabant-Noord,24
Breda,758,10,2,5,Midden- en West-Brabant,18
Deurne,762,8,10,21,Brabant-Zuidoost,16
Dongen,766,10,2,69,Midden- en West-Brabant,18
Eersel,770,8,10,50,Brabant-Zuidoost,16
Eindhoven,772,8,10,23,Brabant-Zuidoost,16
Etten-Leur,777,10,2,80,Midden- en West-Brabant,18
Schouwen-Duiveland,1676,10,2,63,Zeeland,18
Aa en Hunze,1680,0,11,48,Drenthe,6
Geertruidenberg,779,10,2,5,Midden- en West-Brabant,18
Gilze en Rijen,784,10,2,69,Midden- en West-Brabant,18
Goirle,785,10,2,74,Midden- en West-Brabant,18
Grave,786,4,8,67,Brabant-Noord,24
Haaren,788,8,0,29,Brabant-Noord,24
Helmond,794,8,10,21,Brabant-Zuidoost,16
's-Hertogenbosch,796,8,0,29,Brabant-Noord,24
Heusden,797,8,0,65,Brabant-Noord,24
Hilvarenbeek,798,10,2,74,Midden- en West-Brabant,18
Loon op Zand,809,10,2,65,Midden- en West-Brabant,18
Sint-Michielsgestel,845,8,0,29,Brabant-Noord,24
Mill en Sint Hubert,815,4,8,0,Brabant-Noord,24
"Nuenen, Gerwen en Nederwetten",820,8,10,23,Brabant-Zuidoost,16
Oirschot,823,8,10,50,Brabant-Zuidoost,16
Oisterwijk,824,10,2,74,Midden- en West-Brabant,18
Oosterhout,826,10,2,5,Midden- en West-Brabant,18
Oss,828,8,0,56,Brabant-Noord,24
